Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-06-03  193.126801  194.029999  194.990005  192.520004  192.899994   50080500
2024-06-04  193.445328  194.350006  195.320007  193.029999  194.639999   47471400
2024-06-05  194.958237  195.869995  196.899994  194.869995  195.399994   54156800
2024-06-06  193.574707  194.479996  196.500000  194.169998  195.690002   41181800
2024-06-07  195.973495  196.889999  196.940002  194.139999  194.649994   53103900
2024-06-10  192.221039  193.119995  197.300003  192.149994  196.899994   97262100
2024-06-11  206.185715  207.149994  207.160004  193.630005  193.649994  172373300
2024-06-12  212.078186  213.070007  220.199997  206.899994  207.369995  198134300
2024-06-13  213.242737  214.240005  216.750000  211.600006  214.740005   97862700
2024-06-14  211.500885  212.490005  215.169998  211.300003  213.850006   70122700
2024-06-17  215.661423  216.669998  218.949997  212.720001  213.369995   93728300
2024-06-18  213.292480  214.289993  218.630005  213.000000  217.589996   79943300
2024-06-20  208.703934  209.679993  214.240005  208.850006  213.929993   86172500
2024-06-21  206.524170  207.490005  211.889999  207.110001  210.389999  246421400
2024-06-24  207.171127  208.139999  212.699997  206.589996  207.720001   80727000
2024-06-25  208.096802  209.070007  211.380005  208.610001  209.149994   56713900
2024-06-26  212.257339  213.250000  214.860001  210.639999  211.500000   66213200
2024-06-27  213.103394  214.100006  215.740005  212.350006  214.690002   49772700
2024-06-28  209.639572  210.619995  216.070007  210.300003  215.770004   82542700
2024-07-01  215.741028  216.750000  217.509995  211.919998  212.089996   60402900
2024-07-02  219.244675  220.270004  220.380005  215.100006  216.149994   58046200
2024-07-03  220.518723  221.550003  221.550003  219.029999  220.000000   37369800
2024-07-05  225.286392  226.339996  226.449997  221.649994  221.649994   60412400
2024-07-08  226.759521  227.820007  227.850006  223.250000  227.089996   59085900
2024-07-09  227.615494  228.679993  229.399994  226.369995  227.929993   48076100
2024-07-10  231.895493  232.979996  233.080002  229.250000  229.300003   62627700
2024-07-11  226.510696  227.570007  232.389999  225.770004  231.389999   64710600
2024-07-12  229.466858  230.539993  232.639999  228.679993  228.919998   53046500
2024-07-15  233.308884  234.399994  237.229996  233.089996  236.479996   62631300
2024-07-16  233.726929  234.820007  236.270004  232.330002  235.000000   43234300
2024-07-17  227.814590  228.880005  231.460007  226.639999  229.449997   57345900
2024-07-18  223.136444  224.179993  230.440002  222.270004  230.279999   66034600
2024-07-19  223.265854  224.309998  226.800003  223.279999  224.820007   49151500
2024-07-22  222.917480  223.960007  227.779999  223.089996  227.009995   48201800
2024-07-23  223.962601  225.009995  226.940002  222.679993  224.369995   39960300
2024-07-24  217.522705  218.539993  224.800003  217.130005  224.000000   61777600
2024-07-25  216.477615  217.490005  220.850006  214.619995  218.929993   51391200
2024-07-26  216.945419  217.960007  219.490005  216.009995  218.699997   41601300
2024-07-29  217.224106  218.240005  219.300003  215.750000  216.960007   36311800
2024-07-30  217.781509  218.800003  220.330002  216.119995  219.190002   41643800
2024-07-31  221.046234  222.080002  223.820007  220.630005  221.440002   50036300
2024-08-01  217.343552  218.360001  224.479996  217.020004  224.369995   62501000
2024-08-02  218.836578  219.860001  225.600006  217.710007  219.149994  105568600
2024-08-05  208.295853  209.270004  213.500000  196.000000  199.089996  119548600
2024-08-06  206.265350  207.229996  209.990005  201.070007  205.300003   69660500
2024-08-07  208.843307  209.820007  213.639999  206.389999  206.899994   63516400
2024-08-08  212.317062  213.309998  214.199997  208.830002  213.110001   47161100
2024-08-09  215.233429  216.240005  216.779999  211.970001  212.100006   42201600
2024-08-12  216.768021  217.529999  219.509995  215.600006  216.070007   38028100
2024-08-13  220.494949  221.270004  221.889999  219.009995  219.009995   44155300
2024-08-14  220.943344  221.720001  223.029999  219.699997  220.570007   41960600
2024-08-15  223.932846  224.720001  225.350006  222.759995  224.600006   46414000
2024-08-16  225.258194  226.050003  226.830002  223.649994  223.919998   44340200
2024-08-19  225.098755  225.889999  225.990005  223.039993  225.720001   40687800
2024-08-20  225.716568  226.509995  227.169998  225.449997  225.770004   30299000
2024-08-21  225.606964  226.399994  227.979996  225.050003  226.520004   34765500
2024-08-22  223.743500  224.529999  228.339996  223.899994  227.789993   43695300
2024-08-23  226.045425  226.839996  228.220001  224.330002  225.660004   38677300
2024-08-26  226.384216  227.179993  227.279999  223.889999  226.759995   30602200
2024-08-27  227.231247  228.029999  228.850006  224.889999  226.000000   35934600
2024-08-28  225.696655  226.490005  229.860001  225.679993  227.919998   38052200
2024-08-29  228.985092  229.789993  232.919998  228.880005  230.100006   51906300
2024-08-30  228.197845  229.000000  230.399994  227.479996  230.190002   52990800
2024-09-03  221.989685  222.770004  229.000000  221.169998  228.550003   50190600
2024-09-04  220.076416  220.850006  221.779999  217.479996  221.660004   43840200
2024-09-05  221.601059  222.380005  225.479996  221.520004  221.630005   36615400
2024-09-06  220.046509  220.820007  225.240005  219.770004  223.949997   48423000
2024-09-09  220.136215  220.910004  221.270004  216.710007  220.820007   67180000
2024-09-10  219.338989  220.110001  221.479996  216.729996  218.919998   51591000
2024-09-11  221.880066  222.660004  223.089996  217.889999  221.460007   44587100
2024-09-12  221.989685  222.770004  223.550003  219.820007  222.500000   37498200
2024-09-13  221.720612  222.500000  224.039993  221.910004  223.580002   36766600
2024-09-16  215.562271  216.320007  217.220001  213.919998  216.539993   59357400
2024-09-17  216.030624  216.789993  216.899994  214.500000  215.750000   45519300
2024-09-18  219.916946  220.690002  222.710007  217.539993  217.550003   59894900
2024-09-19  228.068314  228.869995  229.820007  224.630005  224.990005   66781300
2024-09-20  227.400665  228.199997  233.089996  227.619995  229.970001  318679900
2024-09-23  225.676712  226.470001  229.449997  225.809998  227.339996   54146000
2024-09-24  226.573563  227.369995  229.350006  225.729996  228.649994   43556100
2024-09-25  225.577057  226.369995  227.289993  224.020004  224.929993   42308700
2024-09-26  226.723053  227.520004  228.500000  225.410004  227.300003   36636700
