Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-06-03  176.289993  176.289993  182.639999  174.490005  178.130005   68568900
2024-06-04  174.770004  174.770004  177.759995  174.000000  174.779999   60056300
2024-06-05  175.000000  175.000000  176.149994  172.130005  175.350006   57953800
2024-06-06  177.940002  177.940002  179.729996  172.729996  174.600006   69887000
2024-06-07  177.479996  177.479996  179.350006  175.580002  176.130005   56244900
2024-06-10  173.789993  173.789993  178.570007  173.169998  176.059998   50869700
2024-06-11  170.660004  170.660004  174.750000  167.410004  173.919998   64761900
2024-06-12  177.289993  177.289993  180.550003  169.800003  171.119995   90389400
2024-06-13  182.470001  182.470001  191.080002  181.229996  188.389999  118984100
2024-06-14  178.009995  178.009995  186.000000  176.919998  185.800003   82038200
2024-06-17  187.440002  187.440002  188.809998  177.000000  177.919998  109786100
2024-06-18  184.860001  184.860001  187.199997  182.369995  186.559998   68982300
2024-06-20  181.570007  181.570007  185.210007  179.660004  184.679993   55893100
2024-06-21  183.009995  183.009995  183.949997  180.690002  182.300003   63029500
2024-06-24  182.580002  182.580002  188.800003  182.550003  184.970001   61992100
2024-06-25  187.350006  187.350006  187.970001  182.009995  184.399994   63678300
2024-06-26  196.369995  196.369995  197.759995  186.360001  186.539993   95737100
2024-06-27  197.419998  197.419998  198.720001  194.050003  195.169998   72746500
2024-06-28  197.880005  197.880005  203.199997  195.259995  199.550003   95438100
2024-07-01  209.860001  209.860001  213.229996  200.850006  201.020004  135691400
2024-07-02  231.259995  231.259995  231.300003  218.059998  218.889999  205047900
2024-07-03  246.389999  246.389999  248.350006  234.250000  234.559998  166561500
2024-07-05  251.520004  251.520004  252.369995  242.460007  249.809998  154501200
2024-07-08  252.940002  252.940002  259.440002  244.570007  247.710007  157219600
2024-07-09  262.329987  262.329987  265.609985  250.300003  251.000000  160210900
2024-07-10  263.260010  263.260010  267.589996  257.859985  262.799988  128519400
2024-07-11  241.029999  241.029999  271.000000  239.649994  263.299988  221707300
2024-07-12  248.229996  248.229996  251.839996  233.089996  235.800003  155955800
2024-07-15  252.639999  252.639999  265.600006  251.729996  255.970001  146912900
2024-07-16  256.559998  256.559998  258.619995  245.800003  255.309998  126332500
2024-07-17  248.500000  248.500000  258.470001  246.179993  252.729996  115584800
2024-07-18  249.229996  249.229996  257.140015  247.199997  251.089996  110869000
2024-07-19  239.199997  239.199997  249.440002  236.830002  247.789993   87403900
2024-07-22  251.509995  251.509995  253.210007  243.750000  244.210007  101225400
2024-07-23  246.380005  246.380005  255.759995  245.630005  253.600006  111928200
2024-07-24  215.990005  215.990005  225.990005  214.710007  225.419998  167942900
2024-07-25  220.250000  220.250000  226.000000  216.229996  216.800003  100636500
2024-07-26  219.800003  219.800003  222.279999  215.330002  221.190002   94604100
2024-07-29  232.100006  232.100006  234.270004  224.699997  224.899994  129201800
2024-07-30  222.619995  222.619995  232.410004  220.000000  232.250000  100560300
2024-07-31  232.070007  232.070007  234.679993  226.789993  227.899994   67497000
2024-08-01  216.860001  216.860001  231.869995  214.330002  227.690002   83861900
2024-08-02  207.669998  207.669998  216.130005  205.779999  214.880005   82880100
2024-08-05  198.880005  198.880005  203.880005  182.000000  185.220001  100308800
2024-08-06  200.639999  200.639999  202.899994  192.669998  200.750000   73783900
2024-08-07  191.759995  191.759995  203.490005  191.479996  200.770004   71159800
2024-08-08  198.839996  198.839996  200.699997  192.039993  195.699997   65033900
2024-08-09  200.000000  200.000000  200.880005  195.110001  197.050003   58648300
2024-08-12  197.490005  197.490005  199.259995  194.669998  199.020004   64044900
2024-08-13  207.830002  207.830002  208.490005  197.059998  198.470001   76247400
